t_seconds,normalized_ch1
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000062e-09,4.651510715484619141e-01
2.000000000000000125e-09,8.235325813293457031e-01
2.999999999999999980e-09,9.928826093673706055e-01
4.000000000000000249e-09,9.343289136886596680e-01
5.000000000000000105e-09,6.613118648529052734e-01
5.999999999999999960e-09,2.364989966154098511e-01
6.999999999999999816e-09,-2.425992339849472046e-01
8.000000000000000498e-09,-6.660118699073791504e-01
8.999999999999999527e-09,-9.365499019622802734e-01
1.000000000000000021e-08,-9.921147227287292480e-01
1.099999999999999924e-08,-8.199521303176879883e-01
1.199999999999999992e-08,-4.595798552036285400e-01
1.300000000000000060e-08,6.283144000917673111e-03
1.399999999999999963e-08,4.707039296627044678e-01
1.499999999999999866e-08,8.270805478096008301e-01
1.600000000000000100e-08,9.936113357543945312e-01
1.700000000000000002e-08,9.320710897445678711e-01
1.799999999999999905e-08,6.565857529640197754e-01
1.900000000000000139e-08,2.303894311189651489e-01
2.000000000000000042e-08,-2.486898899078369141e-01
2.099999999999999945e-08,-6.706855893135070801e-01
2.199999999999999848e-08,-9.387338757514953613e-01
2.300000000000000081e-08,-9.913076162338256836e-01
2.399999999999999984e-08,-8.163392543792724609e-01
2.499999999999999887e-08,-4.539904892444610596e-01
2.600000000000000121e-08,1.256604027003049850e-02
2.700000000000000023e-08,4.762381911277770996e-01
2.799999999999999926e-08,8.305959105491638184e-01
2.900000000000000160e-08,9.943007826805114746e-01
2.999999999999999732e-08,9.297764897346496582e-01
3.099999999999999966e-08,6.518337130546569824e-01
3.200000000000000199e-08,2.242707610130310059e-01
3.299999999999999771e-08,-2.547707259654998779e-01
3.400000000000000005e-08,-6.753327846527099609e-01
3.500000000000000239e-08,-9.408807754516601562e-01
3.599999999999999811e-08,-9.904614090919494629e-01
3.700000000000000044e-08,-8.126941919326782227e-01
3.800000000000000278e-08,-4.483832120895385742e-01
3.899999999999999850e-08,1.884843967854976654e-02
4.000000000000000084e-08,4.817536771297454834e-01
4.100000000000000317e-08,8.340784311294555664e-01
4.199999999999999889e-08,9.949510097503662109e-01
